 SHGOLD, Au(T+D), Profit,105306.61210, TradeCount = 1179,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=400.000,ex_dP_MIN=50.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,5568.65192, TradeCount = 1179,, TRADE_VIEW_MT5, USDCNH, Profit,-128376.28250, TradeCount = 1179,,
 SHGOLD, Au(T+D), Profit,111503.78410, TradeCount = 1150,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=400.000,ex_dP_MIN=100.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,4456.02888, TradeCount = 1150,, TRADE_VIEW_MT5, USDCNH, Profit,-118418.49690, TradeCount = 1150,,
 SHGOLD, Au(T+D), Profit,117971.41880, TradeCount = 1121,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=400.000,ex_dP_MIN=150.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,4873.18712, TradeCount = 1121,, TRADE_VIEW_MT5, USDCNH, Profit,-121893.15750, TradeCount = 1121,,
 SHGOLD, Au(T+D), Profit,120635.60980, TradeCount = 1100,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=400.000,ex_dP_MIN=200.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,4765.40272, TradeCount = 1100,, TRADE_VIEW_MT5, USDCNH, Profit,-121784.05930, TradeCount = 1100,,
 SHGOLD, Au(T+D), Profit,145676.91580, TradeCount = 1185,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=500.000,ex_dP_MIN=0.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-457.37472, TradeCount = 1185,, TRADE_VIEW_MT5, USDCNH, Profit,-122311.26875, TradeCount = 1185,,
 SHGOLD, Au(T+D), Profit,137974.11680, TradeCount = 1156,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=500.000,ex_dP_MIN=50.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,1908.60152, TradeCount = 1156,, TRADE_VIEW_MT5, USDCNH, Profit,-125683.35395, TradeCount = 1156,,
 SHGOLD, Au(T+D), Profit,148144.61380, TradeCount = 1126,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=500.000,ex_dP_MIN=100.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,138.56696, TradeCount = 1126,, TRADE_VIEW_MT5, USDCNH, Profit,-114897.24175, TradeCount = 1126,,
 SHGOLD, Au(T+D), Profit,155265.96650, TradeCount = 1097,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=500.000,ex_dP_MIN=150.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,517.00440, TradeCount = 1097,, TRADE_VIEW_MT5, USDCNH, Profit,-120381.38360, TradeCount = 1097,,
 SHGOLD, Au(T+D), Profit,141841.98080, TradeCount = 1073,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=500.000,ex_dP_MIN=200.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,3120.02800, TradeCount = 1073,, TRADE_VIEW_MT5, USDCNH, Profit,-124124.91995, TradeCount = 1073,,
 SHGOLD, Au(T+D), Profit,150446.94680, TradeCount = 1148,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=600.000,ex_dP_MIN=0.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1337.15440, TradeCount = 1148,, TRADE_VIEW_MT5, USDCNH, Profit,-119947.24595, TradeCount = 1148,,
 SHGOLD, Au(T+D), Profit,142695.42080, TradeCount = 1123,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=600.000,ex_dP_MIN=50.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,1051.92688, TradeCount = 1123,, TRADE_VIEW_MT5, USDCNH, Profit,-121608.57160, TradeCount = 1123,,
 SHGOLD, Au(T+D), Profit,152338.53580, TradeCount = 1091,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=600.000,ex_dP_MIN=100.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-233.90544, TradeCount = 1091,, TRADE_VIEW_MT5, USDCNH, Profit,-112927.96220, TradeCount = 1091,,
 SHGOLD, Au(T+D), Profit,160219.12450, TradeCount = 1062,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=600.000,ex_dP_MIN=150.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-61.65864, TradeCount = 1062,, TRADE_VIEW_MT5, USDCNH, Profit,-114227.45875, TradeCount = 1062,,
 SHGOLD, Au(T+D), Profit,146446.93780, TradeCount = 1033,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=600.000,ex_dP_MIN=200.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,2806.97688, TradeCount = 1033,, TRADE_VIEW_MT5, USDCNH, Profit,-119168.69825, TradeCount = 1033,,
