 SHGOLD, Au(T+D), Profit,24029.312,-1167.68592,-15105.27162,16089.04774,983.776124, TradeCount = 17,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.200,ex_dOpen_ma=0.150,ex_dClose_ma=0.200,ex_nCCPeriod=60.000,ex_nMAPeriod=70.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1167.68592, TradeCount = 17, TRADE_VIEW_MT5, USDCNH, Profit,-15105.27162, TradeCount = 17
 SHGOLD, Au(T+D), Profit,23935.776,-1156.688,-14218.45108,16070.2976,1851.84652, TradeCount = 19,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.200,ex_dClose_abs=0.200,ex_dOpen_ma=0.200,ex_dClose_ma=0.200,ex_nCCPeriod=60.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1156.688, TradeCount = 19, TRADE_VIEW_MT5, USDCNH, Profit,-14218.45108, TradeCount = 19
 SHGOLD, Au(T+D), Profit,24129.064,-1192.35512,-14835.65527,16021.04918,1185.393914, TradeCount = 17,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.200,ex_dOpen_ma=0.150,ex_dClose_ma=0.200,ex_nCCPeriod=60.000,ex_nMAPeriod=70.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1192.35512, TradeCount = 17, TRADE_VIEW_MT5, USDCNH, Profit,-14835.65527, TradeCount = 17
 SHGOLD, Au(T+D), Profit,41614.404,-3777.77144,-15637.72231,15925.55821,287.835898, TradeCount = 15,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.150,ex_dOpen_ma=0.250,ex_dClose_ma=0.250,ex_nCCPeriod=100.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.150,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-3777.77144, TradeCount = 15, TRADE_VIEW_MT5, USDCNH, Profit,-15637.72231, TradeCount = 15
 SHGOLD, Au(T+D), Profit,21867.512,-885.90552,-14425.5126,15843.35446,1417.841864, TradeCount = 17,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.200,ex_dClose_abs=0.200,ex_dOpen_ma=0.150,ex_dClose_ma=0.200,ex_nCCPeriod=60.000,ex_nMAPeriod=70.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-885.90552, TradeCount = 17, TRADE_VIEW_MT5, USDCNH, Profit,-14425.5126, TradeCount = 17
 SHGOLD, Au(T+D), Profit,31920.584,-2366.41272,-16355.1451,15828.9775,-526.167596, TradeCount = 14,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.200,ex_dClose_abs=0.100,ex_dOpen_ma=0.200,ex_dClose_ma=0.250,ex_nCCPeriod=100.000,ex_nMAPeriod=70.000,ex_dRenkoStep=0.150,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-2366.41272, TradeCount = 14, TRADE_VIEW_MT5, USDCNH, Profit,-16355.1451, TradeCount = 14
 SHGOLD, Au(T+D), Profit,24413.288,-1264.97848,-13638.46732,15811.43434,2172.967016, TradeCount = 14,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.200,ex_dClose_abs=0.200,ex_dOpen_ma=0.250,ex_dClose_ma=0.200,ex_nCCPeriod=60.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1264.97848, TradeCount = 14, TRADE_VIEW_MT5, USDCNH, Profit,-13638.46732, TradeCount = 14
 SHGOLD, Au(T+D), Profit,25132.404,-1379.5688,-13725.15639,15751.33616,2026.17977, TradeCount = 13,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.200,ex_dOpen_ma=0.250,ex_dClose_ma=0.200,ex_nCCPeriod=60.000,ex_nMAPeriod=70.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1379.5688, TradeCount = 13, TRADE_VIEW_MT5, USDCNH, Profit,-13725.15639, TradeCount = 13
 SHGOLD, Au(T+D), Profit,25132.404,-1379.5688,-13725.15639,15751.33616,2026.17977, TradeCount = 13,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.200,ex_dOpen_ma=0.250,ex_dClose_ma=0.200,ex_nCCPeriod=60.000,ex_nMAPeriod=70.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1379.5688, TradeCount = 13, TRADE_VIEW_MT5, USDCNH, Profit,-13725.15639, TradeCount = 13
 SHGOLD, Au(T+D), Profit,41846.676,-3839.58032,-15941.23134,15737.52982,-203.701516, TradeCount = 20,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.100,ex_dOpen_ma=0.250,ex_dClose_ma=0.200,ex_nCCPeriod=100.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.150,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-3839.58032, TradeCount = 20, TRADE_VIEW_MT5, USDCNH, Profit,-15941.23134, TradeCount = 20
 SHGOLD, Au(T+D), Profit,36895.364,-3114.37528,-15340.05711,15717.6121,377.554986, TradeCount = 16,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.100,ex_dOpen_ma=0.250,ex_dClose_ma=0.250,ex_nCCPeriod=100.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.150,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-3114.37528, TradeCount = 16, TRADE_VIEW_MT5, USDCNH, Profit,-15340.05711, TradeCount = 16
 SHGOLD, Au(T+D), Profit,22689.3,-1028.48672,-15095.04858,15695.5903,600.541724, TradeCount = 22,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.200,ex_dOpen_ma=0.150,ex_dClose_ma=0.150,ex_nCCPeriod=60.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1028.48672, TradeCount = 22, TRADE_VIEW_MT5, USDCNH, Profit,-15095.04858, TradeCount = 22
