 SHGOLD, Au(T+D), Profit,147454.85040, TradeCount = 783,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.020,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-4401.67984, TradeCount = 783,, TRADE_VIEW_MT5, USDCNH, Profit,-112307.49350, TradeCount = 783,,
 SHGOLD, Au(T+D), Profit,88007.61800, TradeCount = 669,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.030,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,2316.13800, TradeCount = 669,, TRADE_VIEW_MT5, USDCNH, Profit,-91071.49115, TradeCount = 669,,
 SHGOLD, Au(T+D), Profit,107753.32120, TradeCount = 542,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.040,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,3587.84928, TradeCount = 542,, TRADE_VIEW_MT5, USDCNH, Profit,-131445.61295, TradeCount = 542,,
 SHGOLD, Au(T+D), Profit,111934.36080, TradeCount = 491,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.050,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1931.70864, TradeCount = 491,, TRADE_VIEW_MT5, USDCNH, Profit,-78396.82480, TradeCount = 491,,
 SHGOLD, Au(T+D), Profit,163341.38880, TradeCount = 873,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.010,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1523.76936, TradeCount = 873,, TRADE_VIEW_MT5, USDCNH, Profit,-87221.76150, TradeCount = 873,,
 SHGOLD, Au(T+D), Profit,174982.36200, TradeCount = 779,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.020,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-4487.12320, TradeCount = 779,, TRADE_VIEW_MT5, USDCNH, Profit,-80711.06525, TradeCount = 779,,
 SHGOLD, Au(T+D), Profit,101147.78080, TradeCount = 644,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.030,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1424.24712, TradeCount = 644,, TRADE_VIEW_MT5, USDCNH, Profit,-36568.01625, TradeCount = 644,,
 SHGOLD, Au(T+D), Profit,135949.88960, TradeCount = 533,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.040,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-5423.43440, TradeCount = 533,, TRADE_VIEW_MT5, USDCNH, Profit,-68158.66920, TradeCount = 533,,
 SHGOLD, Au(T+D), Profit,80886.21280, TradeCount = 417,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.050,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,2656.21400, TradeCount = 417,, TRADE_VIEW_MT5, USDCNH, Profit,-72065.38020, TradeCount = 417,,
 SHGOLD, Au(T+D), Profit,156785.23760, TradeCount = 995,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=150.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.010,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-2387.32776, TradeCount = 995,, TRADE_VIEW_MT5, USDCNH, Profit,-124767.92980, TradeCount = 995,,
 SHGOLD, Au(T+D), Profit,149032.73400, TradeCount = 827,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=150.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.020,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-3802.59176, TradeCount = 827,, TRADE_VIEW_MT5, USDCNH, Profit,-116291.69035, TradeCount = 827,,
 SHGOLD, Au(T+D), Profit,86443.76960, TradeCount = 684,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=150.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.030,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,2233.20312, TradeCount = 684,, TRADE_VIEW_MT5, USDCNH, Profit,-95096.81430, TradeCount = 684,,
 SHGOLD, Au(T+D), Profit,105089.77320, TradeCount = 559,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=150.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.040,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,4173.15104, TradeCount = 559,, TRADE_VIEW_MT5, USDCNH, Profit,-132293.62755, TradeCount = 559,,
 SHGOLD, Au(T+D), Profit,111698.86440, TradeCount = 492,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=150.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.050,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1806.25480, TradeCount = 492,, TRADE_VIEW_MT5, USDCNH, Profit,-79355.37970, TradeCount = 492,,
 SHGOLD, Au(T+D), Profit,154736.64400, TradeCount = 899,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=150.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.010,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-248.64992, TradeCount = 899,, TRADE_VIEW_MT5, USDCNH, Profit,-100518.92400, TradeCount = 899,,
 SHGOLD, Au(T+D), Profit,190444.86640, TradeCount = 799,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=150.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.020,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-7201.96576, TradeCount = 799,, TRADE_VIEW_MT5, USDCNH, Profit,-87446.79235, TradeCount = 799,,
 SHGOLD, Au(T+D), Profit,90772.47280, TradeCount = 661,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=150.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.030,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,279.67024, TradeCount = 661,, TRADE_VIEW_MT5, USDCNH, Profit,-46819.19330, TradeCount = 661,,
 SHGOLD, Au(T+D), Profit,139485.10520, TradeCount = 536,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=150.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.040,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-6077.99760, TradeCount = 536,, TRADE_VIEW_MT5, USDCNH, Profit,-64388.56440, TradeCount = 536,,
 SHGOLD, Au(T+D), Profit,92343.24880, TradeCount = 422,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=150.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.050,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,152.04616, TradeCount = 422,, TRADE_VIEW_MT5, USDCNH, Profit,-73538.16680, TradeCount = 422,,
 SHGOLD, Au(T+D), Profit,155596.30760, TradeCount = 720,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=100.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.010,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-967.68840, TradeCount = 720,, TRADE_VIEW_MT5, USDCNH, Profit,-69061.36170, TradeCount = 720,,
 SHGOLD, Au(T+D), Profit,150227.53920, TradeCount = 653,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=100.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.020,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,1358.93824, TradeCount = 653,, TRADE_VIEW_MT5, USDCNH, Profit,-84517.52615, TradeCount = 653,,
 SHGOLD, Au(T+D), Profit,109993.68080, TradeCount = 573,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=100.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.030,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1671.47752, TradeCount = 573,, TRADE_VIEW_MT5, USDCNH, Profit,-36239.28415, TradeCount = 573,,
 SHGOLD, Au(T+D), Profit,129632.87760, TradeCount = 501,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=100.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.040,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-2184.74320, TradeCount = 501,, TRADE_VIEW_MT5, USDCNH, Profit,-66345.33310, TradeCount = 501,,
 SHGOLD, Au(T+D), Profit,66902.16120, TradeCount = 390,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=100.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.050,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,7668.36560, TradeCount = 390,, TRADE_VIEW_MT5, USDCNH, Profit,-92732.47985, TradeCount = 390,,
 SHGOLD, Au(T+D), Profit,131633.32000, TradeCount = 650,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=100.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.010,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,4709.68048, TradeCount = 650,, TRADE_VIEW_MT5, USDCNH, Profit,-63618.89585, TradeCount = 650,,
 SHGOLD, Au(T+D), Profit,135461.75160, TradeCount = 593,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=100.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.020,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,4108.02208, TradeCount = 593,, TRADE_VIEW_MT5, USDCNH, Profit,-84126.87805, TradeCount = 593,,
